Date,Time,Price,Bid,Ask,Size
02/03/2020,10:54:43,127.64,127.63,127.64,300
02/03/2020,10:54:43,127.64,127.63,127.64,300
02/03/2020,10:54:43,127.64,127.63,127.64,100
02/03/2020,10:54:44,127.63,127.62,127.63,100
02/03/2020,10:54:47,127.63,127.62,127.63,200
02/03/2020,10:54:47,127.6271,127.62,127.63,2100
02/03/2020,10:54:47,127.6271,127.62,127.63,734
02/03/2020,10:54:56,127.6366,127.63,127.64,109
02/03/2020,10:55:01,127.66,127.66,127.67,100
02/03/2020,10:55:01,127.66,127.66,127.67,100
02/03/2020,10:55:01,127.66,127.65,127.66,100
02/03/2020,10:55:02,127.65,127.64,127.65,100
02/03/2020,10:55:10,127.64,127.64,127.65,100
02/03/2020,10:55:10,127.64,127.64,127.65,100
02/03/2020,10:55:16,127.66,127.66,127.67,100
02/03/2020,10:55:16,127.66,127.66,127.67,100
02/03/2020,10:55:17,127.66,127.65,127.66,100
02/03/2020,10:55:17,127.66,127.65,127.66,100
02/03/2020,10:55:19,127.665,127.66,127.67,100
02/03/2020,10:55:19,127.67,127.66,127.67,100
02/03/2020,10:55:19,127.67,127.66,127.67,300
02/03/2020,10:55:24,127.67,127.67,127.68,200
02/03/2020,10:55:28,127.67,127.66,127.67,100
02/03/2020,10:55:51,127.6804,127.68,127.69,750
02/03/2020,10:55:58,127.665,127.66,127.67,100
02/03/2020,10:56:20,127.645,127.65,127.66,100
02/03/2020,10:56:20,127.65,127.65,127.66,100
02/03/2020,10:56:24,127.66,127.66,127.67,100
02/03/2020,10:56:24,127.66,127.66,127.67,100
02/03/2020,10:56:25,127.6699,127.66,127.67,444
02/03/2020,10:56:26,127.6666,127.66,127.67,750
02/03/2020,10:56:31,127.67,127.66,127.67,100
02/03/2020,10:56:31,127.67,127.66,127.67,200
02/03/2020,10:56:31,127.67,127.66,127.67,300
02/03/2020,10:56:31,127.67,127.66,127.67,100
02/03/2020,10:56:31,127.67,127.66,127.67,300
02/03/2020,10:56:57,127.6633,127.66,127.67,200
02/03/2020,10:56:57,127.6634,127.66,127.67,2100
02/03/2020,10:57:19,127.6338,127.63,127.64,405
02/03/2020,10:57:23,127.65,127.65,127.66,200
02/03/2020,10:57:24,127.6552,127.65,127.66,136
02/03/2020,10:57:28,127.66,127.66,127.67,100
02/03/2020,10:57:37,127.675,127.67,127.68,200
02/03/2020,10:57:46,127.68,127.68,127.69,200
02/03/2020,10:57:46,127.68,127.68,127.69,100
02/03/2020,10:57:46,127.68,127.68,127.69,100
02/03/2020,10:57:46,127.68,127.68,127.69,100
02/03/2020,10:57:46,127.68,127.68,127.69,100
02/03/2020,10:58:31,127.665,127.67,127.68,100
02/03/2020,10:58:31,127.67,127.67,127.68,100
02/03/2020,10:58:31,127.67,127.67,127.68,100
02/03/2020,10:58:37,127.665,127.66,127.67,100
02/03/2020,10:58:46,127.67,127.67,127.68,100
02/03/2020,10:58:50,127.69,127.69,127.7,200
02/03/2020,10:59:03,127.6698,127.66,127.67,109
02/03/2020,10:59:58,127.6666,127.66,127.67,236
02/03/2020,11:00:00,127.665,127.67,127.68,100
02/03/2020,11:00:00,127.67,127.67,127.68,165
02/03/2020,11:00:00,127.675,127.67,127.68,100
02/03/2020,11:00:00,127.68,127.68,127.69,100
02/03/2020,11:00:06,127.66,127.66,127.67,100
02/03/2020,11:00:23,127.71,127.71,127.72,200
02/03/2020,11:00:24,127.7107,127.71,127.72,100
02/03/2020,11:00:27,127.71,127.7,127.71,100
02/03/2020,11:00:27,127.71,127.7,127.71,100
02/03/2020,11:00:53,127.73,127.73,127.74,100
02/03/2020,11:00:53,127.73,127.73,127.74,100
02/03/2020,11:00:53,127.73,127.73,127.74,100
02/03/2020,11:00:53,127.73,127.73,127.74,100
02/03/2020,11:01:04,127.72,127.72,127.73,100
02/03/2020,11:01:20,127.7,127.7,127.71,225
02/03/2020,11:01:30,127.715,127.71,127.72,186
02/03/2020,11:02:34,127.69,127.69,127.7,100
02/03/2020,11:02:42,127.7,127.7,127.71,100
02/03/2020,11:02:42,127.7,127.7,127.71,100
02/03/2020,11:02:42,127.71,127.71,127.72,100
02/03/2020,11:02:46,127.71,127.7,127.71,100
02/03/2020,11:02:46,127.71,127.7,127.71,100
02/03/2020,11:02:46,127.71,127.7,127.71,100
02/03/2020,11:03:00,127.68,127.67,127.68,100
02/03/2020,11:03:22,127.68,127.68,127.69,200
02/03/2020,11:03:22,127.675,127.68,127.69,100
02/03/2020,11:03:22,127.675,127.68,127.69,100
02/03/2020,11:03:33,127.69,127.68,127.69,100
02/03/2020,11:03:39,127.68,127.67,127.68,100
02/03/2020,11:03:39,127.67,127.66,127.67,400
02/03/2020,11:03:55,127.63,127.62,127.63,100
02/03/2020,11:04:11,127.63,127.63,127.64,162
02/03/2020,11:04:11,127.63,127.63,127.64,124
02/03/2020,11:04:30,127.64,127.64,127.65,100
02/03/2020,11:04:30,127.64,127.64,127.65,100
02/03/2020,11:04:30,127.635,127.64,127.65,100
02/03/2020,11:04:32,127.65,127.65,127.66,100
02/03/2020,11:04:50,127.67,127.66,127.67,100
02/03/2020,11:05:08,127.69,127.69,127.7,100
02/03/2020,11:05:08,127.69,127.69,127.7,100
02/03/2020,11:05:08,127.69,127.69,127.7,100
02/03/2020,11:05:16,127.69,127.69,127.69,300
02/03/2020,11:05:16,127.69,127.69,127.69,400
02/03/2020,11:05:16,127.69,127.69,127.69,100
02/03/2020,11:05:16,127.69,127.69,127.69,100
02/03/2020,11:05:16,127.69,127.69,127.69,100
02/03/2020,11:05:16,127.69,127.69,127.69,100
02/03/2020,11:06:00,127.63,127.62,127.63,100
02/03/2020,11:06:00,127.63,127.62,127.63,600
02/03/2020,11:06:00,127.63,127.62,127.63,200
02/03/2020,11:06:41,127.64,127.63,127.64,100
02/03/2020,11:06:41,127.64,127.63,127.64,100
02/03/2020,11:06:41,127.64,127.63,127.64,100
02/03/2020,11:06:53,127.64,127.63,127.64,100
02/03/2020,11:07:09,127.6658,127.66,127.67,400
02/03/2020,11:07:09,127.67,127.66,127.67,200
02/03/2020,11:07:09,127.67,127.66,127.67,300
02/03/2020,11:07:16,127.685,127.68,127.69,100
02/03/2020,11:07:16,127.6807,127.68,127.69,300
02/03/2020,11:07:23,127.69,127.69,127.7,100
02/03/2020,11:07:25,127.6967,127.69,127.7,2266
02/03/2020,11:07:39,127.7,127.69,127.7,100
02/03/2020,11:07:39,127.7,127.69,127.7,143
02/03/2020,11:07:55,127.6966,127.69,127.7,145
02/03/2020,11:08:23,127.72,127.71,127.72,100
02/03/2020,11:08:23,127.72,127.71,127.72,100
02/03/2020,11:08:23,127.72,127.71,127.72,200
02/03/2020,11:08:23,127.72,127.71,127.72,100
02/03/2020,11:08:23,127.725,127.72,127.73,100
02/03/2020,11:08:38,127.71,127.7,127.71,100
02/03/2020,11:08:55,127.72,127.72,127.73,200
02/03/2020,11:08:55,127.72,127.72,127.73,100
02/03/2020,11:08:55,127.72,127.72,127.73,100
02/03/2020,11:08:55,127.72,127.72,127.73,100
02/03/2020,11:09:01,127.73,127.73,127.74,100
02/03/2020,11:09:15,127.74,127.73,127.74,100
02/03/2020,11:09:15,127.74,127.73,127.74,100
02/03/2020,11:09:19,127.74,127.73,127.74,239
02/03/2020,11:09:30,127.73,127.73,127.74,225
02/03/2020,11:09:59,127.71,127.7,127.71,100
02/03/2020,11:10:01,127.71,127.71,127.72,100
02/03/2020,11:10:02,127.72,127.71,127.72,106
02/03/2020,11:10:07,127.7249,127.72,127.73,102
02/03/2020,11:10:10,127.72,127.71,127.72,100
02/03/2020,11:10:23,127.69,127.68,127.69,294
02/03/2020,11:10:23,127.69,127.68,127.69,200
02/03/2020,11:10:23,127.69,127.69,127.7,100
02/03/2020,11:10:43,127.72,127.72,127.73,225
02/03/2020,11:10:44,127.7249,127.72,127.73,307
02/03/2020,11:10:44,127.7249,127.72,127.73,103
02/03/2020,11:10:44,127.7249,127.72,127.73,112
02/03/2020,11:10:44,127.7249,127.72,127.73,103
02/03/2020,11:10:44,127.7249,127.72,127.73,116
02/03/2020,11:10:44,127.725,127.72,127.73,108
02/03/2020,11:10:44,127.7249,127.72,127.73,332
02/03/2020,11:10:45,127.7249,127.72,127.73,172
02/03/2020,11:10:50,127.71,127.7,127.71,100
02/03/2020,11:10:50,127.71,127.7,127.71,100
02/03/2020,11:11:26,127.66,127.66,127.67,100
02/03/2020,11:11:30,127.67,127.67,127.68,200
02/03/2020,11:11:30,127.67,127.67,127.68,100
02/03/2020,11:11:30,127.67,127.67,127.68,125
02/03/2020,11:11:30,127.67,127.67,127.68,100
02/03/2020,11:11:43,127.66,127.65,127.66,100
02/03/2020,11:11:43,127.66,127.66,127.67,112
02/03/2020,11:11:54,127.67,127.66,127.67,100
02/03/2020,11:12:01,127.67,127.67,127.68,100
02/03/2020,11:12:22,127.6343,127.63,127.64,180
02/03/2020,11:12:29,127.62,127.62,127.63,100
02/03/2020,11:12:29,127.62,127.62,127.63,100
02/03/2020,11:12:29,127.62,127.62,127.63,100
02/03/2020,11:12:29,127.62,127.62,127.63,100
02/03/2020,11:12:29,127.62,127.62,127.63,100
02/03/2020,11:12:29,127.62,127.62,127.63,100
02/03/2020,11:12:29,127.62,127.62,127.63,100
02/03/2020,11:12:29,127.62,127.62,127.63,100
02/03/2020,11:12:29,127.62,127.62,127.63,100
02/03/2020,11:12:29,127.62,127.62,127.63,200
02/03/2020,11:12:29,127.62,127.62,127.63,100
02/03/2020,11:12:29,127.62,127.62,127.63,100
02/03/2020,11:12:29,127.62,127.62,127.63,100
02/03/2020,11:12:29,127.62,127.62,127.63,100
02/03/2020,11:12:29,127.62,127.62,127.63,200
